address,in_cluster_with_risky,max_daily_tx_count,small_transfer_count,idle_days,contract_interactions_count,time_since_last_tx,token_diversity,token_holdings_count,balance_eth,tx_count,tx_in_count,tx_out_count,avg_tx_value,max_tx_value,activity_days,label,is_mixer
0x18365a89e092ccc31d2a49ab5cb697564ec81bcf,0,32.0,30.0,2.0,0,205105967.0,1.0,0.1572018125,2.190799,15.0,30.0,2,0.15720181,2.190799,-1.0,Dodgy,False
0xc774f87dad5d1c333a7490e55d3a74d22e24e3ff,0,40.0,39.0,1.0,0,192491229.0,1.0,0.1069457265,2.24277278,16.0,39.0,1,0.10694573,2.24277278,-1.0,Dodgy,False
0xc213bb75f99795ff6cae16ff20a056aad1c1408e,0,0.0,0.0,0.0,0,189621259.93508056,0.0,0.0,0.0,0.0,,0,0.0,-1.0,-1.0,Dodgy,False
0x0a5723d1bc889d8f755eb36fcd60483cc8bcf203,0,24.0,23.0,0.0,24,187379928.0,6.0,0.0,0.0,12.0,23.0,0,0.0,0.0,-1.0,Dodgy,False
0x9afa0a129d164323965f3f5bdf5f348897c0a205,0,6.0,3.0,3.0,2,126719711.0,1.0,0.0180606646666666,0.053963988,4.0,3.0,3,0.027091,0.05396399,-1.0,Dodgy,False
0xadb2f5aa3ee37bb3900db9919ab5cd8b148b5348,0,4.0,2.0,2.0,0,188739065.0,0.0,2.07820492,4.12405684,4.0,2.0,2,2.07820492,4.12405684,-1.0,Dodgy,False
0xa07ddf9ce7dc9c8492a9a307c1bf85cabeb6a8de,0,2.0,1.0,1.0,1,190753905.0,2.0,0.0002301689824825,0.0004603379649651,1.0,1.0,1,0.00046034,0.00046034,-1.0,Dodgy,False
0x870691b57198f065530e90f8e98c70d0bd545e3e,0,24.0,15.0,9.0,0,202115176.0,0.0,2.921540440833333,13.99,7.0,15.0,9,2.92154044,13.99,-1.0,Dodgy,False
0xa2818e01a3aa1720ee87164fb81de1509a286f4d,0,9.0,8.0,1.0,0,175053072.0,0.0,4.098784013333333,19.387,3.0,8.0,1,4.09878401,19.387,-1.0,Dodgy,False
0xa6142413486c95e68e4da1c05ed85791cc727bd0,0,3.0,2.0,1.0,0,175053171.0,0.0,20.6665,30.9995,2.0,2.0,1,20.6665,30.9995,-1.0,Dodgy,False
0x0e57edba0fccb1e388926193c873120cab961fee,1,7382.0,7380.0,2.0,0,187263073.0,2.0,3.5296115572024354,13027.695396634188,3.0,7380.0,2,3.52961156,13027.69539663,-1.0,Dodgy,False
0x1503b6cb665fea9a128a56244df392e950593486,1,5.0,3.0,2.0,0,176979501.0,8.0,5211.117923453675,13027.695396634188,3.0,3.0,2,5211.11792345,13027.69539663,-1.0,Dodgy,False
0x3f37442c8b76fd15e66bbe6865540a7d657712ba,0,23.0,10.0,13.0,0,183397701.0,0.0,0.8897963913043477,2.554,6.0,10.0,13,0.88979639,2.554,-1.0,Dodgy,False
0x5ac8306d4c4ac8f95fab23aca0b3c41890b77eb6,0,40.0,25.0,15.0,1,23103772.0,1.0,0.130182486625657,1.09,34.0,25.0,15,0.1335205,1.09,-1.0,Dodgy,False
